minute,time_bin,month,day_of_year,airport,LATITUDE,LONGITUDE,ELEVATION,hour,tmp,dwpt,relh,drct,sknt,gust,vsby,mslp,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcode,wind_u,wind_v,gust_factor,wind_speed_diff,wind_dir_diff,high_wind_gust,min_skyl,num_cloud_layers,dewpoint_dep,tmp_diff,mslp_diff,is_day,low_visibility,date_int,turbulence
0,0,1,1,0,19.088686,72.867919,11,0,24,18,69,160.0,3,3,1,1012,5,0,0,0,0,0,0,0,5,1,-3,0,0,0,0,0,0,6,0,0,0,1,20240101,1
30,1,1,1,0,19.088686,72.867919,11,0,26,18,61,80.0,5,5,1,1012,5,0,0,0,0,0,0,0,5,5,1,0,2,-80,0,0,0,8,2,0,0,1,20240101,1
0,2,1,1,0,19.088686,72.867919,11,1,25,18,65,140.0,4,4,1,1013,5,0,0,0,0,0,0,0,5,3,-3,0,-1,60,0,0,0,7,-1,1,0,1,20240101,1
30,3,1,1,0,19.088686,72.867919,11,1,25,18,65,70.0,1,4,1,1013,5,0,0,0,0,0,0,0,5,1,0,3,-3,-70,0,0,0,7,0,0,0,1,20240101,1
0,4,1,1,0,19.088686,72.867919,11,2,26,18,61,90.0,5,5,1,1013,5,0,0,0,0,0,0,0,5,5,0,0,4,20,0,0,0,8,1,0,0,1,20240101,1
30,5,1,1,0,19.088686,72.867919,11,2,25,18,65,50.0,3,3,1,1014,5,0,0,0,0,0,0,0,5,2,2,0,-2,-40,0,0,0,7,-1,1,0,1,20240101,1
0,6,1,1,0,19.088686,72.867919,11,3,26,19,65,20.0,1,3,1,1014,5,0,0,0,0,0,0,0,5,0,1,2,-2,-30,0,0,0,7,1,0,0,1,20240101,1
30,7,1,1,0,19.088686,72.867919,11,3,27,18,58,40.0,6,6,1,1014,5,0,0,0,0,0,0,0,5,4,5,0,5,20,0,0,0,9,1,0,0,1,20240101,1
0,8,1,1,0,19.088686,72.867919,11,4,27,18,58,150.0,4,4,1,1015,5,0,0,0,0,0,0,0,5,2,-3,0,-2,110,0,0,0,9,0,1,0,1,20240101,1
30,9,1,1,0,19.088686,72.867919,11,4,28,18,55,120.0,4,4,1,1015,5,0,0,0,0,0,0,0,6,3,-2,0,0,-30,0,0,0,10,1,0,0,1,20240101,1
