valid,tmpf,dwpf,relh,drct,sknt,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,hour,airport,low_visibility,valid_hour,LATITUDE,LONGITUDE,ELEVATION
2024-01-01 00:00:00+00:00,53.6,50.0,87.56,260.0,4.0,1018.0,0.75,4.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,BR,0,VIDP,True,2024-01-01 00:00:00+00:00,28.584511,77.205783,215.0
2024-01-01 00:30:00+00:00,53.6,50.0,87.56,290.0,4.0,1019.0,0.75,4.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,BR,0,VIDP,True,2024-01-01 00:00:00+00:00,28.584511,77.205783,215.0
2024-01-01 01:00:00+00:00,51.8,48.2,87.47,290.0,4.0,1019.0,0.75,4.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,BR,1,VIDP,True,2024-01-01 01:00:00+00:00,28.584511,77.205783,215.0
2024-01-01 01:30:00+00:00,51.8,48.2,87.47,330.0,3.0,1019.0,0.68,3.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,BR,1,VIDP,True,2024-01-01 01:00:00+00:00,28.584511,77.205783,215.0
2024-01-01 02:00:00+00:00,51.8,48.2,87.47,260.0,4.0,1019.0,0.75,4.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,BR,2,VIDP,True,2024-01-01 02:00:00+00:00,28.584511,77.205783,215.0
2024-01-01 02:30:00+00:00,51.8,48.2,87.47,300.0,4.0,1020.0,0.75,4.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,BR,2,VIDP,True,2024-01-01 02:00:00+00:00,28.584511,77.205783,215.0
2024-01-01 03:00:00+00:00,51.8,48.2,87.47,310.0,3.0,1020.0,0.75,3.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,BR,3,VIDP,True,2024-01-01 03:00:00+00:00,28.584511,77.205783,215.0
2024-01-01 03:30:00+00:00,51.8,48.2,87.47,40.0,3.0,1020.0,0.75,3.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,BR,3,VIDP,True,2024-01-01 03:00:00+00:00,28.584511,77.205783,215.0
2024-01-01 04:00:00+00:00,51.8,48.2,87.47,30.0,3.0,1020.0,0.75,3.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,BR,4,VIDP,True,2024-01-01 04:00:00+00:00,28.584511,77.205783,215.0
2024-01-01 04:30:00+00:00,51.8,48.2,87.47,30.0,3.0,1021.0,0.81,3.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,BR,4,VIDP,True,2024-01-01 04:00:00+00:00,28.584511,77.205783,215.0
