ID,TIME,Temp,Dew,RH,Wind,Gust,Weather,Clouds,Visibility
VIDP,20251218 0630Z,61,57,88,250,4,MIFG,FEW100,0.37
VIDP,20251218 0600Z,59,55,88,240,3,FG MIFG,FEW100,0.31
VIDP,20251218 0530Z,59,55,88,VRB,2,FG MIFG,FEW100,0.31
VIDP,20251218 0500Z,57,55,94,VRB,2,FG MIFG,,0.28
VIDP,20251218 0430Z,55,54,94,VRB,2,FG,,0.22
VIDP,20251218 0400Z,55,54,94,VRB,2,FG,,0.22
VIDP,20251218 0330Z,55,55,100,VRB,2,FG FG,,0.12
VIDP,20251218 0300Z,55,54,94,VRB,2,FG,,0.09
VIDP,20251218 0230Z,54,54,100,0,0,FG FG,,0.12
VIDP,20251218 0200Z,54,54,100,0,0,FG FG,,0.12
VIDP,20251218 0130Z,52,52,100,0,0,FG FG,,0.06
VIDP,20251218 0100Z,50,50,100,0,0,FG,,0.06
VIDP,20251218 0030Z,50,50,100,0,0,FG,,0.09
VIDP,20251218 0000Z,50,50,100,0,0,FG FG,,0.12
VIDP,20251217 2330Z,50,50,100,0,0,FG,,0.22
VIDP,20251217 2300Z,50,50,100,0,0,FG,,0.22
VIDP,20251217 2230Z,50,50,100,0,0,FG,,0.22
VIDP,20251217 2200Z,50,50,100,0,0,FG FG,,0.31
VIDP,20251217 2130Z,50,50,100,0,0,FG FG,,0.31
VIDP,20251217 2100Z,50,50,100,0,0,FG FG,,0.31
VIDP,20251217 2030Z,52,50,94,0,0,FG FG,,0.31
VIDP,20251217 2000Z,54,52,94,VRB,2,MIFG MIFG,,0.5
VIDP,20251217 1930Z,54,52,94,100,3,BR MIFG,,0.62
VIDP,20251217 1900Z,54,52,94,120,4,BR,,0.81
VIDP,20251217 1830Z,54,50,88,110,3,BR BR,,1.06
VIDP,20251217 1800Z,55,52,88,110,3,BR,,1.3
VIDP,20251217 1730Z,55,52,88,0,0,BR,,1.43
VIDP,20251217 1700Z,55,52,88,0,0,BR,,1.43
VIDP,20251217 1630Z,59,52,77,0,0,BR,,1.55
VIDP,20251217 1600Z,61,52,72,0,0,HZ,,1.55
VIDP,20251217 1530Z,61,52,72,0,0,HZ,,1.55
VIDP,20251217 1500Z,61,52,72,0,0,HZ,,1.55
VIDP,20251217 1430Z,61,52,72,240,4,HZ,,1.55
VIDP,20251217 1400Z,63,52,68,240,4,HZ,,1.55
VIDP,20251217 1330Z,63,52,68,240,3,HZ,,1.55
VIDP,20251217 1300Z,64,52,64,240,4,HZ,,1.55
