DATE,LATITUDE,LONGITUDE,ELEVATION,airport,wind_dir,wind_speed,cloud_base,visibility,temperature,dew_point,pressure,fog,haze,tempo,vrb,gusty
2024-01-01T00:00:00,19.088686,72.867919,11,VABB,,0.0,,2000,21.6,17.4,1012.0,0,0,0,0,0
2024-01-01T00:00:00,19.088686,72.867919,11,VABB,160,1.5,22000,2100,24.0,18.0,,0,1,0,0,0
2024-01-01T00:30:00,19.088686,72.867919,11,VABB,80,2.6,22000,2100,26.0,18.0,,0,1,0,0,0
2024-01-01T01:00:00,19.088686,72.867919,11,VABB,140,2.1,22000,2100,25.0,18.0,,0,1,0,0,0
2024-01-01T01:30:00,19.088686,72.867919,11,VABB,0,0.0,22000,1800,25.0,18.0,,0,1,0,0,0
2024-01-01T02:00:00,19.088686,72.867919,11,VABB,90,2.6,22000,1800,26.0,18.0,,0,1,0,0,0
2024-01-01T02:30:00,19.088686,72.867919,11,VABB,50,1.5,22000,1700,25.0,18.0,,0,1,0,0,0
2024-01-01T03:00:00,19.088686,72.867919,11,VABB,,0.0,,2000,22.2,19.1,1013.9,0,0,0,0,0
2024-01-01T03:00:00,19.088686,72.867919,11,VABB,0,0.0,22000,1700,26.0,19.0,,0,1,0,0,0
2024-01-01T03:30:00,19.088686,72.867919,11,VABB,40,3.1,22000,1700,27.0,18.0,,0,1,0,0,0
2024-01-01T04:00:00,19.088686,72.867919,11,VABB,150,2.1,22000,1700,27.0,18.0,,0,1,0,0,0
2024-01-01T04:30:00,19.088686,72.867919,11,VABB,120,2.1,22000,1700,28.0,18.0,,0,0,0,0,0
2024-01-01T05:00:00,19.088686,72.867919,11,VABB,150,2.6,22000,2100,29.0,17.0,,0,0,0,0,0
2024-01-01T05:30:00,19.088686,72.867919,11,VABB,160,2.6,22000,2100,29.0,16.0,,0,0,0,0,0
2024-01-01T06:00:00,19.088686,72.867919,11,VABB,,0.0,,2000,30.4,17.2,1013.9,0,0,0,0,0
2024-01-01T06:00:00,19.088686,72.867919,11,VABB,0,0.0,10000,2100,31.0,16.0,,0,0,0,0,0
2024-01-01T06:30:00,19.088686,72.867919,11,VABB,0,0.0,10000,2100,32.0,17.0,,0,0,0,0,0
2024-01-01T07:00:00,19.088686,72.867919,11,VABB,200,2.1,10000,2100,32.0,16.0,,0,0,0,0,0
2024-01-01T07:30:00,19.088686,72.867919,11,VABB,270,3.6,10000,2100,31.0,19.0,,0,0,0,0,0
2024-01-01T08:00:00,19.088686,72.867919,11,VABB,270,3.6,10000,2100,31.0,19.0,,0,0,0,0,0
2024-01-01T08:30:00,19.088686,72.867919,11,VABB,260,4.1,22000,2100,31.0,20.0,,0,0,0,0,0
2024-01-01T09:00:00,19.088686,72.867919,11,VABB,320,1.5,,2000,31.0,20.5,1011.3,0,0,0,0,0
2024-01-01T09:00:00,19.088686,72.867919,11,VABB,270,5.1,22000,2100,31.0,19.0,,0,0,0,0,0
2024-01-01T09:30:00,19.088686,72.867919,11,VABB,270,5.1,22000,2100,30.0,19.0,,0,0,0,0,0
2024-01-01T10:00:00,19.088686,72.867919,11,VABB,270,4.1,22000,2100,30.0,18.0,,0,0,0,0,0
2024-01-01T10:30:00,19.088686,72.867919,11,VABB,280,3.6,22000,2100,31.0,18.0,,0,0,0,0,0
2024-01-01T11:00:00,19.088686,72.867919,11,VABB,260,3.6,22000,2100,30.0,19.0,,0,0,0,0,0
2024-01-01T11:30:00,19.088686,72.867919,11,VABB,280,4.1,22000,2100,31.0,19.0,,0,0,0,0,0
2024-01-01T12:00:00,19.088686,72.867919,11,VABB,320,2.1,,2000,29.0,20.6,1010.8,0,0,0,0,0
