valid,LATITUDE,LONGITUDE,ELEVATION,airport,wind_dir,wind_speed,cloud_base,visibility,temperature,dew_point,pressure,fog,haze,tempo,vrb,gusty,valid_hour
2024-01-01 00:00:00,19.088686,72.867919,11,VABB,,0.0,,2000.0,21.6,17.4,1012.0,0,0,0,0,0,2024-01-01 00:00:00
2024-01-01 00:00:00,19.088686,72.867919,11,VABB,160.0,1.5,22000.0,2100.0,24.0,18.0,,0,1,0,0,0,2024-01-01 00:00:00
2024-01-01 00:30:00,19.088686,72.867919,11,VABB,80.0,2.6,22000.0,2100.0,26.0,18.0,,0,1,0,0,0,2024-01-01 00:00:00
2024-01-01 01:00:00,19.088686,72.867919,11,VABB,140.0,2.1,22000.0,2100.0,25.0,18.0,,0,1,0,0,0,2024-01-01 01:00:00
2024-01-01 01:30:00,19.088686,72.867919,11,VABB,0.0,0.0,22000.0,1800.0,25.0,18.0,,0,1,0,0,0,2024-01-01 01:00:00
2024-01-01 02:00:00,19.088686,72.867919,11,VABB,90.0,2.6,22000.0,1800.0,26.0,18.0,,0,1,0,0,0,2024-01-01 02:00:00
2024-01-01 02:30:00,19.088686,72.867919,11,VABB,50.0,1.5,22000.0,1700.0,25.0,18.0,,0,1,0,0,0,2024-01-01 02:00:00
2024-01-01 03:00:00,19.088686,72.867919,11,VABB,,0.0,,2000.0,22.2,19.1,1013.9,0,0,0,0,0,2024-01-01 03:00:00
2024-01-01 03:00:00,19.088686,72.867919,11,VABB,0.0,0.0,22000.0,1700.0,26.0,19.0,,0,1,0,0,0,2024-01-01 03:00:00
2024-01-01 03:30:00,19.088686,72.867919,11,VABB,40.0,3.1,22000.0,1700.0,27.0,18.0,,0,1,0,0,0,2024-01-01 03:00:00
2024-01-01 04:00:00,19.088686,72.867919,11,VABB,150.0,2.1,22000.0,1700.0,27.0,18.0,,0,1,0,0,0,2024-01-01 04:00:00
2024-01-01 04:30:00,19.088686,72.867919,11,VABB,120.0,2.1,22000.0,1700.0,28.0,18.0,,0,0,0,0,0,2024-01-01 04:00:00
2024-01-01 05:00:00,19.088686,72.867919,11,VABB,150.0,2.6,22000.0,2100.0,29.0,17.0,,0,0,0,0,0,2024-01-01 05:00:00
2024-01-01 05:30:00,19.088686,72.867919,11,VABB,160.0,2.6,22000.0,2100.0,29.0,16.0,,0,0,0,0,0,2024-01-01 05:00:00
2024-01-01 06:00:00,19.088686,72.867919,11,VABB,,0.0,,2000.0,30.4,17.2,1013.9,0,0,0,0,0,2024-01-01 06:00:00
2024-01-01 06:00:00,19.088686,72.867919,11,VABB,0.0,0.0,10000.0,2100.0,31.0,16.0,,0,0,0,0,0,2024-01-01 06:00:00
2024-01-01 06:30:00,19.088686,72.867919,11,VABB,0.0,0.0,10000.0,2100.0,32.0,17.0,,0,0,0,0,0,2024-01-01 06:00:00
2024-01-01 07:00:00,19.088686,72.867919,11,VABB,200.0,2.1,10000.0,2100.0,32.0,16.0,,0,0,0,0,0,2024-01-01 07:00:00
2024-01-01 07:30:00,19.088686,72.867919,11,VABB,270.0,3.6,10000.0,2100.0,31.0,19.0,,0,0,0,0,0,2024-01-01 07:00:00
2024-01-01 08:00:00,19.088686,72.867919,11,VABB,270.0,3.6,10000.0,2100.0,31.0,19.0,,0,0,0,0,0,2024-01-01 08:00:00
2024-01-01 08:30:00,19.088686,72.867919,11,VABB,260.0,4.1,22000.0,2100.0,31.0,20.0,,0,0,0,0,0,2024-01-01 08:00:00
2024-01-01 09:00:00,19.088686,72.867919,11,VABB,320.0,1.5,,2000.0,31.0,20.5,1011.3,0,0,0,0,0,2024-01-01 09:00:00
2024-01-01 09:00:00,19.088686,72.867919,11,VABB,270.0,5.1,22000.0,2100.0,31.0,19.0,,0,0,0,0,0,2024-01-01 09:00:00
