station,time,temp,dew,rh,wind_dir,wind_speed,p01i,alti,mslp,visibility,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth,low_visibil,high_humi,weather_f,turbulence_risk
VOHS,2024-01-01 00:00:00+00:00,60.8,57.2,87.92,,3.0,0.0,30.06,,1.55,M,FEW,M,M,M,1000.00,M,M,M,BR,M,M,M,M,M,M,60.8,VOHS 010000Z VRB03KT 2500 BR FEW010 16/14 Q1018 NOSIG,M,True,True,False,1
VOHS,2024-01-01 00:30:00+00:00,60.8,57.2,87.92,,3.0,0.0,30.06,,1.24,M,SCT,M,M,M,800.00,M,M,M,BR,M,M,M,M,M,M,60.8,VOHS 010030Z VRB03KT 2000 BR SCT008 16/14 Q1018 TEMPO 1500,M,True,True,False,1
VOHS,2024-01-01 01:00:00+00:00,60.8,57.2,87.92,,3.0,0.0,30.06,,0.93,M,SCT,M,M,M,800.00,M,M,M,BR,M,M,M,M,M,M,60.8,VOHS 010100Z VRB03KT 1500 R09/1800 R27/1800 BR SCT008 16/14 Q1018 NOSIG,M,True,True,False,1
VOHS,2024-01-01 01:30:00+00:00,60.8,57.2,87.92,,3.0,0.0,30.09,,0.93,M,BKN,M,M,M,800.00,M,M,M,M,M,M,M,M,M,M,60.8,VOHS 010130Z VRB03KT 1500 R09/1800 R27/1800 BR BKN008 16/14 Q1019 TEMPO 800 BR,M,True,True,False,1
VOHS,2024-01-01 02:00:00+00:00,60.8,59.0,93.79,,3.0,0.0,30.09,,0.93,M,BKN,M,M,M,800.00,M,M,M,BR,M,M,M,M,M,M,60.8,VOHS 010200Z VRB03KT 1500 R09/1800 R27/1800 BR BKN008 16/15 Q1019 NOSIG,M,True,True,False,1
VOHS,2024-01-01 02:30:00+00:00,62.6,60.8,93.83,,4.0,0.0,30.09,,0.93,M,BKN,M,M,M,800.00,M,M,M,BR,M,M,M,M,M,M,62.6,VOHS 010230Z VRB04KT 1500 R09/1800 R27/1800 BR BKN008 17/16 Q1019 NOSIG,M,True,True,False,1
VOHS,2024-01-01 03:00:00+00:00,64.4,62.6,93.88,,4.0,0.0,30.12,,0.93,M,BKN,M,M,M,800.00,M,M,M,BR,M,M,M,M,M,M,64.4,VOHS 010300Z VRB04KT 1500 R09/1800 R27/1800 BR BKN008 18/17 Q1020 BECMG 3000 BR,M,True,True,False,1
VOHS,2024-01-01 03:30:00+00:00,68.0,64.4,88.26,130.0,7.0,0.0,30.12,,1.24,M,BKN,M,M,M,800.00,M,M,M,BR,M,M,M,M,M,M,68.0,VOHS 010330Z 13007KT 2000 BR BKN008 20/18 Q1020 NOSIG,M,True,True,False,1
VOHS,2024-01-01 04:00:00+00:00,71.6,68.0,88.43,120.0,8.0,0.0,30.12,,1.86,M,BKN,M,M,M,1000.00,M,M,M,BR,M,M,M,M,M,M,71.6,VOHS 010400Z 12008KT 3000 BR BKN010 22/20 Q1020 NOSIG,M,True,True,False,1
VOHS,2024-01-01 04:30:00+00:00,73.4,66.2,78.19,120.0,8.0,0.0,30.12,,1.86,M,BKN,M,M,M,1000.00,M,M,M,BR,M,M,M,M,M,M,73.4,VOHS 010430Z 12008KT 3000 BR BKN010 23/19 Q1020 NOSIG,M,True,False,False,1
