id,time,temp,dew,rh,wind_dir,wind_speed,weather,clouds,visibility,low_visibil,high_humi,weather_f,turbulence_risk
VABB,2026-01-01 12:00:00+00:00,81,66,62,310,11,HZ,,2.79,False,False,False,0
VABB,2026-01-01 11:30:00+00:00,81,64,58,320,11,FU,,2.79,False,False,False,0
VABB,2026-01-01 11:00:00+00:00,82,64,55,310,10,FU,FEW020,2.79,False,False,False,0
VABB,2026-01-01 10:30:00+00:00,82,64,55,290,11,FU,FEW020,2.79,False,False,False,0
VABB,2026-01-01 10:00:00+00:00,82,64,55,280,11,FU,FEW020,2.48,False,False,False,0
VABB,2026-01-01 09:30:00+00:00,84,63,48,290,11,FU,FEW020,2.48,False,False,False,0
VABB,2026-01-01 09:00:00+00:00,82,64,55,270,10,FU,FEW020,2.48,False,False,False,0
VABB,2026-01-01 08:30:00+00:00,84,63,48,270,7,FU,FEW020,2.48,False,False,False,0
VABB,2026-01-01 08:00:00+00:00,84,63,48,270,9,FU,FEW020,2.48,False,False,False,0
VABB,2026-01-01 07:30:00+00:00,84,63,48,270,7,FU,FEW020 SCT100,2.48,False,False,False,0
VABB,2026-01-01 07:00:00+00:00,84,61,45,280,6,FU,FEW020 SCT100,2.48,False,False,False,0
VABB,2026-01-01 06:30:00+00:00,84,59,43,20,5,FU,FEW020 SCT100,2.48,False,False,False,0
VABB,2026-01-01 06:00:00+00:00,82,61,48,0,0,FU,FEW020 SCT100,1.86,True,False,False,1
VABB,2026-01-01 05:30:00+00:00,81,64,58,0,0,HZ,FEW020 SCT100,1.86,True,False,False,1
VABB,2026-01-01 05:00:00+00:00,77,66,69,130,3,HZ,FEW020 SCT025 BKN090,1.86,True,False,False,1
VABB,2026-01-01 04:30:00+00:00,75,66,74,120,3,BR HZ,SCT020 SCT025 BKN090,1.55,True,False,False,1
VABB,2026-01-01 04:00:00+00:00,72,64,78,120,6,BR,SCT020 SCT025 BKN090,1.55,True,False,False,1
VABB,2026-01-01 03:30:00+00:00,72,64,78,120,7,BR,SCT020 SCT025 BKN090,1.55,True,False,False,1
VABB,2026-01-01 03:00:00+00:00,70,63,78,100,8,BR,SCT020 SCT025 BKN090,1.55,True,False,False,1
VABB,2026-01-01 02:30:00+00:00,70,64,83,90,9,DZ,SCT020 SCT025 BKN090,1.55,True,True,False,1
VABB,2026-01-01 02:00:00+00:00,70,64,83,70,11,-RA,SCT018 SCT025 BKN090,1.55,True,True,False,1
VABB,2026-01-01 01:30:00+00:00,72,66,83,60,8,-RA,SCT020 BKN090,1.55,True,True,False,1
VABB,2026-01-01 01:00:00+00:00,70,66,88,360,10,BR,SCT020 BKN090,1.55,True,True,False,1
VABB,2026-01-01 00:30:00+00:00,72,68,88,300,5,-RA,SCT020 BKN090,1.12,True,True,False,1
VABB,2026-01-01 00:03:00+00:00,73,66,78,60,7,RA RA,FEW020 SCT025 BKN100,1.12,True,False,False,1
VABB,2025-12-31 23:30:00+00:00,73,64,73,90,7,BR,FEW100,1.3,True,False,False,1
VABB,2025-12-31 23:00:00+00:00,73,66,78,90,6,BR,,1.3,True,False,False,1
VABB,2025-12-31 22:30:00+00:00,72,66,83,100,6,BR,,1.3,True,True,False,1
VABB,2025-12-31 22:00:00+00:00,73,66,78,110,4,BR,,1.3,True,False,False,1
VABB,2025-12-31 21:30:00+00:00,73,66,78,100,4,BR,,1.37,True,False,False,1
VABB,2025-12-31 21:00:00+00:00,73,66,78,130,4,HZ,,1.37,True,False,False,1
VABB,2025-12-31 20:30:00+00:00,73,66,78,90,5,HZ,,1.37,True,False,False,1
VABB,2025-12-31 20:00:00+00:00,75,66,74,90,5,HZ,,1.37,True,False,False,1
VABB,2025-12-31 19:30:00+00:00,75,66,74,120,5,HZ,,1.55,True,False,False,1
VABB,2025-12-31 19:00:00+00:00,75,66,74,120,6,HZ,,1.55,True,False,False,1
VABB,2025-12-31 18:30:00+00:00,75,66,74,110,4,HZ,,1.55,True,False,False,1
VABB,2025-12-31 18:00:00+00:00,77,66,69,130,4,HZ,,1.55,True,False,False,1
VABB,2025-12-31 17:30:00+00:00,77,66,69,160,4,HZ,,1.55,True,False,False,1
VABB,2025-12-31 17:00:00+00:00,79,66,65,10,4,HZ,,1.55,True,False,False,1
VABB,2025-12-31 16:30:00+00:00,77,66,69,330,4,HZ,,1.55,True,False,False,1
VABB,2025-12-31 16:00:00+00:00,79,66,65,320,5,HZ,,1.55,True,False,False,1
VABB,2025-12-31 15:30:00+00:00,77,66,69,310,6,HZ,,1.55,True,False,False,1
VABB,2025-12-31 15:00:00+00:00,79,66,65,320,7,HZ,,1.55,True,False,False,1
