id,time,temp,dew,rh,wind_dir,wind_speed,weather,clouds,visibility,low_visibil,high_humi,weather_f,turbulence_risk
VIDP,2026-01-01 11:30:00+00:00,59,54,82,240.0,4,BR,SCT100,0.81,True,True,False,1
VIDP,2026-01-01 11:00:00+00:00,59,52,77,220.0,3,BR,SCT100,0.93,True,False,False,1
VIDP,2026-01-01 10:30:00+00:00,59,52,77,230.0,4,BR,SCT100,0.93,True,False,False,1
VIDP,2026-01-01 10:00:00+00:00,59,52,77,220.0,3,BR,SCT100,0.93,True,False,False,1
VIDP,2026-01-01 09:30:00+00:00,61,52,72,190.0,3,HZ,SCT100,0.93,True,False,False,1
VIDP,2026-01-01 09:00:00+00:00,61,52,72,150.0,3,HZ HZ,FEW035 SCT100,0.87,True,False,False,1
VIDP,2026-01-01 08:30:00+00:00,59,52,77,170.0,4,BR HZ,FEW035 BKN100,0.81,True,False,False,1
VIDP,2026-01-01 08:00:00+00:00,59,52,77,150.0,4,BR,BKN100,0.68,True,False,False,1
VIDP,2026-01-01 07:30:00+00:00,59,52,77,160.0,3,BR,BKN100,0.68,True,False,False,1
VIDP,2026-01-01 07:00:00+00:00,57,50,77,130.0,3,BR,BKN100,0.68,True,False,False,1
VIDP,2026-01-01 06:30:00+00:00,57,50,77,130.0,3,BR,FEW035 SCT100,0.68,True,False,False,1
VIDP,2026-01-01 06:00:00+00:00,55,50,82,120.0,4,BR,FEW035 SCT100,0.62,True,True,False,1
VIDP,2026-01-01 05:30:00+00:00,54,50,88,120.0,7,MIFG,FEW035 SCT100,0.5,True,True,False,1
VIDP,2026-01-01 05:00:00+00:00,54,50,88,130.0,7,MIFG,FEW035 SCT100,0.5,True,True,False,1
VIDP,2026-01-01 04:30:00+00:00,52,50,94,130.0,6,MIFG MIFG,FEW035 SCT100,0.43,True,True,False,1
VIDP,2026-01-01 04:00:00+00:00,52,50,94,140.0,6,MIFG MIFG,FEW035 SCT100,0.43,True,True,False,1
VIDP,2026-01-01 03:30:00+00:00,52,50,94,110.0,5,MIFG,FEW035 SCT100,0.37,True,True,False,1
VIDP,2026-01-01 03:00:00+00:00,52,50,94,130.0,6,MIFG,FEW035 SCT100,0.37,True,True,False,1
