year,month,day,airport,temp,dew,rh,mslp,pressure,visibility,wind_dir,wind_speed,gust_flag,dewpoint_spread,pressure_tendency,feel,low_visibil,high_humi,weather_f,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wx_+DZ,wx_+RA,wx_+TSRA,wx_-DZ,wx_-DZ BR,wx_-RA,wx_-TS,wx_-TSRA,wx_BR,wx_DZ,wx_HZ,wx_M,wx_MIFG,wx_RA,wx_TS,wx_TSRA,wx_VCRA,wx_VCRA -DZ,wx_VCTS,wx_VCTS RA,turbulence_risk
2024,1,1,1,16,14,87,1020,1018,1,0,3,0,2,0,60,1,1,0,2,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2024,1,1,1,16,14,87,1020,1018,1,0,3,0,2,0,60,1,1,0,2,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2024,1,1,1,16,14,87,1020,1018,1,0,3,0,2,0,60,1,1,0,4,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2024,1,1,1,16,14,87,1020,1018,1,0,3,0,2,0,60,1,1,0,4,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2024,1,1,1,16,14,87,1020,1018,0,0,3,0,2,0,60,1,1,0,4,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2024,1,1,1,16,14,87,1020,1018,0,0,3,0,2,0,60,1,1,0,4,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2024,1,1,1,16,14,87,1020,1019,0,0,3,0,2,0,60,1,1,0,7,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2024,1,1,1,16,14,87,1020,1019,0,0,3,0,2,0,60,1,1,0,7,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2024,1,1,1,16,15,93,1020,1019,0,0,3,0,1,0,60,1,1,0,7,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2024,1,1,1,16,15,93,1020,1019,0,0,3,0,1,0,60,1,1,0,7,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2024,1,1,1,17,16,93,1020,1019,0,0,4,0,1,0,62,1,1,0,7,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2024,1,1,1,17,16,93,1020,1019,0,0,4,0,1,0,62,1,1,0,7,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2024,1,1,1,18,17,93,1020,1020,0,0,4,0,1,0,64,1,1,0,7,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2024,1,1,1,18,17,93,1020,1020,0,130,4,0,2,0,64,1,1,0,7,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2024,1,1,1,20,18,88,1020,1020,1,130,7,0,1,0,68,1,1,0,7,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2024,1,1,1,20,18,88,1020,1020,1,130,7,0,2,0,68,1,1,0,7,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2024,1,1,1,21,20,88,1020,1020,1,120,8,0,2,0,71,1,1,0,7,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2024,1,1,1,21,20,88,1020,1020,1,120,8,0,4,0,71,1,1,0,7,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2024,1,1,1,23,19,78,1020,1020,1,120,8,0,2,0,73,1,0,0,7,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2024,1,1,1,23,19,78,1020,1020,1,120,8,0,4,0,73,1,0,0,7,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2024,1,1,1,23,18,73,1020,1020,1,120,7,0,5,0,73,1,0,0,4,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2024,1,1,1,23,18,73,1020,1020,1,120,7,0,8,0,73,1,0,0,4,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2024,1,1,1,25,17,61,1020,1020,2,90,6,0,5,0,77,0,0,0,4,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2024,1,1,1,25,17,61,1020,1020,2,90,6,0,8,0,77,0,0,0,4,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2024,1,1,1,26,16,54,1020,1019,2,100,5,0,10,0,78,0,0,0,4,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2024,1,1,1,26,16,54,1020,1019,2,100,5,0,12,0,78,0,0,0,4,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2024,1,1,1,26,15,47,1020,1019,3,110,6,0,10,0,81,0,0,0,4,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2024,1,1,1,26,15,47,1020,1019,3,110,6,0,12,0,81,0,0,0,4,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2024,1,1,1,26,15,47,1020,1018,3,80,5,0,13,0,81,0,0,0,4,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2024,1,1,1,26,15,47,1020,1018,3,80,5,0,12,0,81,0,0,0,4,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
