ID,Time,Temp,Dew,RH,Wind Direction,Wind Speed,Weather,Clouds,Visibility
VOHS,20260101 1100Z,79,57,48,90,9,HZ,,1.86
VOHS,20260101 1030Z,79,55,45,100,8,HZ,,2.48
VOHS,20260101 1000Z,81,55,42,80,10,HZ,,2.48
VOHS,20260101 0930Z,81,57,45,80,10,HZ,,1.86
VOHS,20260101 0900Z,81,55,42,80,10,HZ,,1.86
VOHS,20260101 0830Z,81,57,45,60,8,HZ,,1.86
VOHS,20260101 0800Z,79,61,54,100,8,HZ,,1.86
VOHS,20260101 0730Z,79,61,54,110,6,HZ,,1.86
VOHS,20260101 0700Z,79,61,54,110,8,HZ,,1.86
VOHS,20260101 0630Z,77,63,61,110,8,HZ,,1.86
VOHS,20260101 0600Z,77,61,57,100,8,HZ,,1.86
VOHS,20260101 0530Z,75,64,69,VRB,4,HZ,,0.93
VOHS,20260101 0500Z,70,64,83,VRB,4,BR,SCT006,0.75
VOHS,20260101 0430Z,70,64,83,VRB,4,BR,SCT006,0.75
VOHS,20260101 0400Z,68,64,88,VRB,2,FG BR,SCT004 BKN100,0.5
VOHS,20260101 0330Z,64,63,94,270,6,FG,BKN001 OVC100,0.25
VOHS,20260101 0300Z,64,64,100,VRB,3,FG FG,SCT002 BKN010,0.19
VOHS,20260101 0230Z,64,63,94,170,6,FG,SCT001 BKN010,0.06
VOHS,20260101 0200Z,63,63,100,120,5,FG,FEW008,0.37
VOHS,20260101 0130Z,63,63,100,120,5,FG,FEW008,0.37
VOHS,20260101 0100Z,63,61,94,120,3,BR,FEW010,0.62
VOHS,20260101 0030Z,63,63,100,120,4,BR,FEW010,0.62
VOHS,20260101 0000Z,63,61,94,130,4,BR MIFG,,0.93
VOHS,20251231 2330Z,63,61,94,110,6,BR,,0.93
VOHS,20251231 2300Z,63,61,94,120,4,BR,,0.93
VOHS,20251231 2230Z,63,61,94,100,4,BR,,0.93
VOHS,20251231 2200Z,63,61,94,110,4,BR,,0.93
