ID,Time,Temp,Dew,RH,Wind Direction,Wind Speed,Weather,Clouds,Visibility
VABB,20260101 1200Z,81,66,62,310,11,HZ,,2.79
VABB,20260101 1130Z,81,64,58,320,11,FU,,2.79
VABB,20260101 1100Z,82,64,55,310,10,FU,FEW020,2.79
VABB,20260101 1030Z,82,64,55,290,11,FU,FEW020,2.79
VABB,20260101 1000Z,82,64,55,280,11,FU,FEW020,2.48
VABB,20260101 0930Z,84,63,48,290,11,FU,FEW020,2.48
VABB,20260101 0900Z,82,64,55,270,10,FU,FEW020,2.48
VABB,20260101 0830Z,84,63,48,270,7,FU,FEW020,2.48
VABB,20260101 0800Z,84,63,48,270,9,FU,FEW020,2.48
VABB,20260101 0730Z,84,63,48,270,7,FU,FEW020 SCT100,2.48
VABB,20260101 0700Z,84,61,45,280,6,FU,FEW020 SCT100,2.48
VABB,20260101 0630Z,84,59,43,20,5,FU,FEW020 SCT100,2.48
VABB,20260101 0600Z,82,61,48,0,0,FU,FEW020 SCT100,1.86
VABB,20260101 0530Z,81,64,58,0,0,HZ,FEW020 SCT100,1.86
VABB,20260101 0500Z,77,66,69,130,3,HZ,FEW020 SCT025 BKN090,1.86
VABB,20260101 0430Z,75,66,74,120,3,BR HZ,SCT020 SCT025 BKN090,1.55
VABB,20260101 0400Z,72,64,78,120,6,BR,SCT020 SCT025 BKN090,1.55
VABB,20260101 0330Z,72,64,78,120,7,BR,SCT020 SCT025 BKN090,1.55
VABB,20260101 0300Z,70,63,78,100,8,BR,SCT020 SCT025 BKN090,1.55
VABB,20260101 0230Z,70,64,83,90,9,DZ,SCT020 SCT025 BKN090,1.55
VABB,20260101 0200Z,70,64,83,70,11,-RA,SCT018 SCT025 BKN090,1.55
VABB,20260101 0130Z,72,66,83,60,8,-RA,SCT020 BKN090,1.55
VABB,20260101 0100Z,70,66,88,360,10,BR,SCT020 BKN090,1.55
VABB,20260101 0030Z,72,68,88,300,5,-RA,SCT020 BKN090,1.12
VABB,20260101 0003Z,73,66,78,60,7,RA RA,FEW020 SCT025 BKN100,1.12
VABB,20251231 2330Z,73,64,73,90,7,BR,FEW100,1.3
VABB,20251231 2300Z,73,66,78,90,6,BR,,1.3
VABB,20251231 2230Z,72,66,83,100,6,BR,,1.3
VABB,20251231 2200Z,73,66,78,110,4,BR,,1.3
VABB,20251231 2130Z,73,66,78,100,4,BR,,1.37
VABB,20251231 2100Z,73,66,78,130,4,HZ,,1.37
VABB,20251231 2030Z,73,66,78,90,5,HZ,,1.37
VABB,20251231 2000Z,75,66,74,90,5,HZ,,1.37
VABB,20251231 1930Z,75,66,74,120,5,HZ,,1.55
VABB,20251231 1900Z,75,66,74,120,6,HZ,,1.55
VABB,20251231 1830Z,75,66,74,110,4,HZ,,1.55
VABB,20251231 1800Z,77,66,69,130,4,HZ,,1.55
VABB,20251231 1730Z,77,66,69,160,4,HZ,,1.55
VABB,20251231 1700Z,79,66,65,10,4,HZ,,1.55
VABB,20251231 1630Z,77,66,69,330,4,HZ,,1.55
VABB,20251231 1600Z,79,66,65,320,5,HZ,,1.55
VABB,20251231 1530Z,77,66,69,310,6,HZ,,1.55
VABB,20251231 1500Z,79,66,65,320,7,HZ,,1.55
VABB,20251231 1430Z,79,66,65,320,7,HZ,,1.55
VABB,20251231 1400Z,79,66,65,300,6,HZ,,1.55
VABB,20251231 1330Z,79,64,61,300,6,HZ,,1.37
VABB,20251231 1300Z,79,66,65,290,9,HZ,,1.37
VABB,20251231 1230Z,79,66,65,290,9,HZ,,1.37
VABB,20251231 1200Z,81,66,62,290,10,HZ,,1.55
VABB,20251231 1130Z,81,61,51,290,12,FU,,1.86
VABB,20251231 1100Z,81,59,48,280,12,FU,,1.86
VABB,20251231 1030Z,82,59,45,280,11,FU,,1.86
VABB,20251231 1000Z,82,61,48,290,11,FU,,1.86
VABB,20251231 0930Z,82,61,48,260,10,FU,,1.86
VABB,20251231 0900Z,84,61,45,280,9,FU,,1.86
VABB,20251231 0830Z,84,59,43,260,8,FU,,1.86
