station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
VIDP,2024-01-01 00:00,53.60,50.00,87.56,260.00,4.00,0.00,30.06,M,0.75,M,NSC,M,M,M,M,M,M,M,BR,M,M,M,M,M,M,53.60,VIDP 010000Z 26004KT 1200 R27/2000 R29L/2000 R29R/2000 BR NSC 12/10 Q1018 NOSIG,M
VIDP,2024-01-01 00:30,53.60,50.00,87.56,290.00,4.00,0.00,30.09,M,0.75,M,NSC,M,M,M,M,M,M,M,BR,M,M,M,M,M,M,53.60,VIDP 010030Z 29004KT 1200 R27/2000 R29L/2000 R29R/2000 BR NSC 12/10 Q1019 NOSIG,M
VIDP,2024-01-01 01:00,51.80,48.20,87.47,0.00,0.00,0.00,30.09,M,0.75,M,NSC,M,M,M,M,M,M,M,BR,M,M,M,M,M,M,51.80,VIDP 010100Z 00000KT 1200 R27/2000 R29L/2000 R29R/2000 BR NSC 11/09 Q1019 NOSIG,M
VIDP,2024-01-01 01:30,51.80,48.20,87.47,330.00,3.00,0.00,30.09,M,0.68,M,NSC,M,M,M,M,M,M,M,BR,M,M,M,M,M,M,51.80,VIDP 010130Z 33003KT 1100 R27/2000 R29L/2000 R29R/2000 BR NSC 11/09 Q1019 NOSIG,M
VIDP,2024-01-01 02:00,51.80,48.20,87.47,260.00,4.00,0.00,30.09,M,0.75,M,NSC,M,M,M,M,M,M,M,BR,M,M,M,M,M,M,51.80,VIDP 010200Z 26004KT 1200 R27/2000 R29L/2000 R29R/2000 BR NSC 11/09 Q1019 NOSIG,M
VIDP,2024-01-01 02:30,51.80,48.20,87.47,300.00,4.00,0.00,30.12,M,0.75,M,NSC,M,M,M,M,M,M,M,BR,M,M,M,M,M,M,51.80,VIDP 010230Z 30004KT 1200 R27/2000 R29L/2000 R29R/2000 BR NSC 11/09 Q1020 NOSIG,M
VIDP,2024-01-01 03:00,51.80,48.20,87.47,310.00,3.00,0.00,30.12,M,0.75,M,NSC,M,M,M,M,M,M,M,BR,M,M,M,M,M,M,51.80,VIDP 010300Z 31003KT 1200 R27/2000 R29L/2000 R29R/2000 BR NSC 11/09 Q1020 NOSIG,M
VIDP,2024-01-01 03:30,51.80,48.20,87.47,40.00,3.00,0.00,30.12,M,0.75,M,NSC,M,M,M,M,M,M,M,BR,M,M,M,M,M,M,51.80,VIDP 010330Z 04003KT 1200 R27/1800 R29L/2000 R29R/2000 BR NSC 11/09 Q1020 NOSIG,M
VIDP,2024-01-01 04:00,51.80,48.20,87.47,30.00,3.00,0.00,30.12,M,0.75,M,NSC,M,M,M,M,M,M,M,BR,M,M,M,M,M,M,51.80,VIDP 010400Z 03003KT 1200 R27/1800 R29L/2000 R29R/2000 BR NSC 11/09 Q1020 NOSIG,M
VIDP,2024-01-01 04:30,51.80,48.20,87.47,30.00,3.00,0.00,30.15,M,0.81,M,NSC,M,M,M,M,M,M,M,BR,M,M,M,M,M,M,51.80,VIDP 010430Z 03003KT 1300 R27/1700 R29L/2000 R29R/1900 BR NSC 11/09 Q1021 NOSIG,M
VIDP,2024-01-01 05:00,53.60,48.20,81.87,M,2.00,0.00,30.15,M,0.81,M,NSC,M,M,M,M,M,M,M,BR,M,M,M,M,M,M,53.60,VIDP 010500Z VRB02KT 1300 R27/1600 R29L/2000 R29R/1800 BR NSC 12/09 Q1021 NOSIG,M
VIDP,2024-01-01 05:30,53.60,48.20,81.87,210.00,3.00,0.00,30.12,M,0.87,M,NSC,M,M,M,M,M,M,M,BR,M,M,M,M,M,M,53.60,VIDP 010530Z 21003KT 1400 R27/1700 R29L/2000 R29R/1800 BR NSC 12/09 Q1020 BECMG 1500 BR,M
VIDP,2024-01-01 06:00,55.40,50.00,81.99,250.00,3.00,0.00,30.12,M,0.93,M,NSC,M,M,M,M,M,M,M,BR,M,M,M,M,M,M,55.40,VIDP 010600Z 25003KT 1500 R27/1700 R29L/2000 R29R/1800 BR NSC 13/10 Q1020 NOSIG,M
VIDP,2024-01-01 06:30,55.40,50.00,81.99,230.00,3.00,0.00,30.12,M,0.93,M,NSC,M,M,M,M,M,M,M,BR,M,M,M,M,M,M,55.40,VIDP 010630Z 23003KT 1500 R27/1800 R29L/2000 R29R/1800 BR NSC 13/10 Q1020 NOSIG,M
VIDP,2024-01-01 07:00,57.20,48.20,71.83,M,2.00,0.00,30.09,M,0.99,M,NSC,M,M,M,M,M,M,M,FU,M,M,M,M,M,M,57.20,VIDP 010700Z VRB02KT 1600 R27/1800 R29L/2000 R29R/1800 FU NSC 14/09 Q1019 NOSIG,M
VIDP,2024-01-01 07:30,57.20,50.00,76.82,270.00,4.00,0.00,30.09,M,0.99,M,NSC,M,M,M,M,M,M,M,FU,M,M,M,M,M,M,57.20,VIDP 010730Z 27004KT 1600 R27/1700 R29L/2000 R29R/1700 FU NSC 14/10 Q1019 NOSIG,M
VIDP,2024-01-01 08:00,57.20,48.20,71.83,260.00,5.00,0.00,30.06,M,0.99,M,NSC,M,M,M,M,M,M,M,FU,M,M,M,M,M,M,57.20,VIDP 010800Z 26005KT 1600 R27/1800 R29L/2000 R29R/1800 FU NSC 14/09 Q1018 NOSIG,M
VIDP,2024-01-01 08:30,59.00,50.00,72.01,250.00,4.00,0.00,30.06,M,0.99,M,NSC,M,M,M,M,M,M,M,FU,M,M,M,M,M,M,59.00,VIDP 010830Z 25004KT 1600 R27/2000 R29L/2000 R29R/1800 FU NSC 15/10 Q1018 NOSIG,M
VIDP,2024-01-01 09:00,59.00,50.00,72.01,270.00,6.00,0.00,30.03,M,0.99,M,NSC,M,M,M,M,M,M,M,FU,M,M,M,M,M,M,59.00,VIDP 010900Z 27006KT 1600 R27/1900 R29L/2000 R29R/1900 FU NSC 15/10 Q1017 NOSIG,M
VIDP,2024-01-01 09:30,59.00,48.20,67.33,260.00,5.00,0.00,30.03,M,0.99,M,NSC,M,M,M,M,M,M,M,FU,M,M,M,M,M,M,59.00,VIDP 010930Z 26005KT 1600 R27/2000 R29L/2000 R29R/2000 FU NSC 15/09 Q1017 TEMPO 1500 FU,M
