"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","ED1","GA1","GA2","GA3","GA4","GE1","GF1","MA1","MW1","MW2","OC1","REM","EQD"
"43128599999","2024-01-01T00:00:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","999,9,V,0015,1","99999,9,9,N","002500,1,9,9","+0160,1","+0140,1","99999,9",,"02,1,+00305,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00305,1,99,9,99,9","10180,1,99999,9","10,1",,,"MET060METAR VOHS 010000Z VRB03KT 2500 BR FEW010 16/14 Q1018 NOSIG=",
"43128599999","2024-01-01T00:30:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","999,9,V,0015,1","99999,9,9,N","002000,1,9,9","+0160,1","+0140,1","99999,9",,"04,1,+00244,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00244,1,99,9,99,9","10180,1,99999,9","10,1",,,"MET065METAR VOHS 010030Z VRB03KT 2000 BR SCT008 16/14 Q1018 TEMPO 1500=",
"43128599999","2024-01-01T01:00:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","999,9,V,0015,1","99999,9,9,N","001500,1,9,9","+0160,1","+0140,1","99999,9","09,U,9999,9","04,1,+00244,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00244,1,99,9,99,9","10180,1,99999,9","10,1",,,"MET078METAR VOHS 010100Z VRB03KT 1500 R09/1800 R27/1800 BR SCT008 16/14 Q1018 NOSIG=",
"43128599999","2024-01-01T01:30:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","999,9,V,0015,1","00244,1,C,N","001500,1,9,9","+0160,1","+0140,1","99999,9","09,U,9999,9","07,1,+00244,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,00244,1,99,9,99,9","10190,1,99999,9","10,1",,,"MET085METAR VOHS 010130Z VRB03KT 1500 R09/1800 R27/1800 BR BKN008 16/14 Q1019 TEMPO 800 BR=",
"43128599999","2024-01-01T02:00:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","999,9,V,0015,1","00244,1,C,N","001500,1,9,9","+0160,1","+0150,1","99999,9","09,U,9999,9","07,1,+00244,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,00244,1,99,9,99,9","10190,1,99999,9","10,1",,,"MET078METAR VOHS 010200Z VRB03KT 1500 R09/1800 R27/1800 BR BKN008 16/15 Q1019 NOSIG=",
"43128599999","2024-01-01T02:30:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","999,9,V,0021,1","00244,1,C,N","001500,1,9,9","+0170,1","+0160,1","99999,9","09,U,9999,9","07,1,+00244,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,00244,1,99,9,99,9","10190,1,99999,9","10,1",,,"MET078METAR VOHS 010230Z VRB04KT 1500 R09/1800 R27/1800 BR BKN008 17/16 Q1019 NOSIG=",
"43128599999","2024-01-01T03:00:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","999,9,V,0021,1","00244,1,C,N","001500,1,9,9","+0180,1","+0170,1","99999,9","09,U,9999,9","07,1,+00244,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,00244,1,99,9,99,9","10200,1,99999,9","10,1",,,"MET086METAR VOHS 010300Z VRB04KT 1500 R09/1800 R27/1800 BR BKN008 18/17 Q1020 BECMG 3000 BR=",
"43128599999","2024-01-01T03:30:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","130,1,N,0036,1","00244,1,C,N","002000,1,9,9","+0200,1","+0180,1","99999,9",,"07,1,+00244,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,00244,1,99,9,99,9","10200,1,99999,9","10,1",,,"MET060METAR VOHS 010330Z 13007KT 2000 BR BKN008 20/18 Q1020 NOSIG=",
"43128599999","2024-01-01T04:00:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","120,1,N,0041,1","00305,1,C,N","003000,1,9,9","+0220,1","+0200,1","99999,9",,"07,1,+00305,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,00305,1,99,9,99,9","10200,1,99999,9","10,1",,,"MET060METAR VOHS 010400Z 12008KT 3000 BR BKN010 22/20 Q1020 NOSIG=",
"43128599999","2024-01-01T04:30:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","120,1,N,0041,1","00305,1,C,N","003000,1,9,9","+0230,1","+0190,1","99999,9",,"07,1,+00305,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,00305,1,99,9,99,9","10200,1,99999,9","10,1",,,"MET060METAR VOHS 010430Z 12008KT 3000 BR BKN010 23/19 Q1020 NOSIG=",
