valid,tmpf,dwpf,relh,drct,sknt,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,airport,hour,low_visibility,valid_hour
2024-01-01 00:00:00,60.8,57.2,87.92,-1.0,3.0,1018.0,1.55,3.0,FEW,CLR,CLR,CLR,1000.0,0.0,0.0,0.0,BR,VOHS,0,True,2024-01-01 00:00:00
2024-01-01 00:30:00,60.8,57.2,87.92,-1.0,3.0,1018.0,1.24,3.0,SCT,CLR,CLR,CLR,800.0,0.0,0.0,0.0,BR,VOHS,0,True,2024-01-01 00:00:00
2024-01-01 01:00:00,60.8,57.2,87.92,-1.0,3.0,1018.0,0.93,3.0,SCT,CLR,CLR,CLR,800.0,0.0,0.0,0.0,BR,VOHS,1,True,2024-01-01 01:00:00
2024-01-01 01:30:00,60.8,57.2,87.92,-1.0,3.0,1019.0,0.93,3.0,BKN,CLR,CLR,CLR,800.0,0.0,0.0,0.0,BR BR,VOHS,1,True,2024-01-01 01:00:00
2024-01-01 02:00:00,60.8,59.0,93.79,-1.0,3.0,1019.0,0.93,3.0,BKN,CLR,CLR,CLR,800.0,0.0,0.0,0.0,BR,VOHS,2,True,2024-01-01 02:00:00
2024-01-01 02:30:00,62.6,60.8,93.83,-1.0,4.0,1019.0,0.93,4.0,BKN,CLR,CLR,CLR,800.0,0.0,0.0,0.0,BR,VOHS,2,True,2024-01-01 02:00:00
2024-01-01 03:00:00,64.4,62.6,93.88,-1.0,4.0,1020.0,0.93,4.0,BKN,CLR,CLR,CLR,800.0,0.0,0.0,0.0,BR,VOHS,3,True,2024-01-01 03:00:00
2024-01-01 03:30:00,68.0,64.4,88.26,130.0,7.0,1020.0,1.24,7.0,BKN,CLR,CLR,CLR,800.0,0.0,0.0,0.0,BR,VOHS,3,True,2024-01-01 03:00:00
2024-01-01 04:00:00,71.6,68.0,88.43,120.0,8.0,1020.0,1.86,8.0,BKN,CLR,CLR,CLR,1000.0,0.0,0.0,0.0,BR,VOHS,4,True,2024-01-01 04:00:00
2024-01-01 04:30:00,73.4,66.2,78.19,120.0,8.0,1020.0,1.86,8.0,BKN,CLR,CLR,CLR,1000.0,0.0,0.0,0.0,BR,VOHS,4,True,2024-01-01 04:00:00
2024-01-01 05:00:00,73.4,64.4,73.44,120.0,7.0,1020.0,1.86,7.0,SCT,CLR,CLR,CLR,1000.0,0.0,0.0,0.0,HZ,VOHS,5,True,2024-01-01 05:00:00
2024-01-01 05:30:00,77.0,62.6,61.13,90.0,6.0,1020.0,2.49,6.0,SCT,CLR,CLR,CLR,1000.0,0.0,0.0,0.0,HZ,VOHS,5,False,2024-01-01 05:00:00
2024-01-01 06:00:00,78.8,60.8,54.05,100.0,5.0,1019.0,2.49,5.0,SCT,CLR,CLR,CLR,1000.0,0.0,0.0,0.0,HZ,VOHS,6,False,2024-01-01 06:00:00
2024-01-01 06:30:00,80.6,59.0,47.79,110.0,6.0,1019.0,3.11,6.0,SCT,CLR,CLR,CLR,1000.0,0.0,0.0,0.0,HZ,VOHS,6,False,2024-01-01 06:00:00
2024-01-01 07:00:00,80.6,59.0,47.79,80.0,5.0,1018.0,3.11,5.0,SCT,CLR,CLR,CLR,2000.0,0.0,0.0,0.0,HZ,VOHS,7,False,2024-01-01 07:00:00
2024-01-01 07:30:00,80.6,57.2,44.8,110.0,4.0,1017.0,3.11,4.0,FEW,CLR,CLR,CLR,2000.0,0.0,0.0,0.0,HZ,VOHS,7,False,2024-01-01 07:00:00
2024-01-01 08:00:00,80.6,57.2,44.8,100.0,6.0,1017.0,3.11,6.0,FEW,CLR,CLR,CLR,2000.0,0.0,0.0,0.0,HZ,VOHS,8,False,2024-01-01 08:00:00
2024-01-01 08:30:00,82.4,59.0,45.07,80.0,5.0,1016.0,3.11,5.0,FEW,CLR,CLR,CLR,2000.0,0.0,0.0,0.0,HZ,VOHS,8,False,2024-01-01 08:00:00
2024-01-01 09:00:00,82.4,57.2,42.25,90.0,5.0,1016.0,3.11,5.0,FEW,CLR,CLR,CLR,2000.0,0.0,0.0,0.0,HZ,VOHS,9,False,2024-01-01 09:00:00
2024-01-01 09:30:00,82.4,57.2,42.25,90.0,6.0,1016.0,3.11,6.0,FEW,CLR,CLR,CLR,2000.0,0.0,0.0,0.0,HZ,VOHS,9,False,2024-01-01 09:00:00
