tmpf_c,dwpf_c,relh,drct,sknt,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,airport,hour,low_visibility,LATITUDE,LONGITUDE,ELEVATION,hour_of_day,day,month,wx_+SHRA,wx_+TSRA,wx_-SHRA,wx_-TSRA,"wx_-TSRA,fog","wx_-TSRA,haze",wx_BLDU,wx_Heavy DZ,wx_Heavy RA,wx_In the vicinity RA,wx_In the vicinity SH,wx_In the vicinity TS,wx_Light DZ,wx_Light RA,wx_Light TS,wx_MIFG,"wx_MIFG,fog",wx_Moderate BR,wx_Moderate DS,wx_Moderate DU,wx_Moderate DZ,wx_Moderate FG,wx_Moderate FU,wx_Moderate HZ,wx_Moderate RA,wx_Moderate TS,wx_NoWX,"wx_NoWX,fog","wx_NoWX,gusty","wx_NoWX,haze",wx_SHRA,"wx_SHRA,haze,tempo,gusty",wx_TSRA,temp_diff,turbulence
16,14,87,230,3,1018,1,3,2,1,1,1,1000,999,999,999,2,0,1,17.2333333,78.4166666,617,0,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,0
16,14,87,230,3,1018,1,3,4,1,1,1,800,999,999,999,2,0,1,17.2333333,78.4166666,617,0,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,0
16,14,87,230,3,1018,0,3,4,1,1,1,800,999,999,999,2,1,1,17.2333333,78.4166666,617,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,0
16,14,87,230,3,1019,0,3,0,1,1,1,800,999,999,999,2,1,1,17.2333333,78.4166666,617,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,0
16,15,93,230,3,1019,0,3,0,1,1,1,800,999,999,999,2,2,1,17.2333333,78.4166666,617,2,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0
17,16,93,230,4,1019,0,4,0,1,1,1,800,999,999,999,2,2,1,17.2333333,78.4166666,617,2,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0
18,17,93,230,4,1020,0,4,0,1,1,1,800,999,999,999,2,3,1,17.2333333,78.4166666,617,3,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0
20,18,88,130,7,1020,1,7,0,1,1,1,800,999,999,999,2,3,1,17.2333333,78.4166666,617,3,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,0
22,20,88,120,8,1020,1,8,0,1,1,1,1000,999,999,999,2,4,1,17.2333333,78.4166666,617,4,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,0
23,19,78,120,8,1020,1,8,0,1,1,1,1000,999,999,999,2,4,1,17.2333333,78.4166666,617,4,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,0
